GAME_DATE,SEASON_ID,OPPONENT,IS_HOME,WIN,REST_DAYS,MIN,PTS,REB,AST,STL,BLK,TOV,PF,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,PLUS_MINUS
2021-10-20,2021-22,MIN,0,0,3,19,11,6,2,3,0,3,4,3,4,0.75,0,0,0.0,5,5,1.0,-8
2021-10-22,2021-22,OKC,1,1,2,18,6,4,1,1,2,6,4,3,5,0.6,0,2,0.0,0,1,0.0,14
2021-10-24,2021-22,BOS,1,0,2,19,7,4,4,3,1,1,5,1,5,0.2,0,1,0.0,5,6,0.833,-3
2021-10-26,2021-22,DAL,0,0,2,14,5,1,2,2,0,1,1,1,4,0.25,1,2,0.5,2,4,0.5,4
2021-10-28,2021-22,UTA,1,0,2,24,14,5,0,3,0,1,3,5,12,0.417,1,1,1.0,3,4,0.75,-8
2021-10-31,2021-22,LAL,0,0,3,20,11,7,2,3,0,4,3,3,7,0.429,0,1,0.0,5,6,0.833,-3
2021-11-02,2021-22,LAL,0,0,2,26,6,4,4,1,0,5,4,3,7,0.429,0,1,0.0,0,0,0.0,-2
2021-11-04,2021-22,PHX,0,0,2,23,10,4,5,1,0,2,5,4,10,0.4,1,2,0.5,1,2,0.5,-19
2021-11-06,2021-22,DEN,0,0,2,14,9,4,3,0,1,0,4,3,4,0.75,1,1,1.0,2,2,1.0,8
2021-11-07,2021-22,GSW,0,0,1,16,12,5,1,0,1,3,1,3,4,0.75,1,1,1.0,5,12,0.417,-4
2021-11-12,2021-22,POR,1,0,5,19,12,4,0,0,1,1,2,4,6,0.667,1,1,1.0,3,4,0.75,-18
2021-11-14,2021-22,PHX,1,0,2,22,10,10,4,0,1,2,2,4,6,0.667,0,1,0.0,2,3,0.667,-1
2021-11-15,2021-22,MEM,0,0,1,18,9,5,1,1,1,0,3,3,9,0.333,0,2,0.0,3,5,0.6,-22
2021-11-17,2021-22,OKC,0,0,2,5,0,2,0,0,0,1,0,0,2,0.0,0,0,0.0,0,0,0.0,-5
2021-11-20,2021-22,NYK,0,0,3,24,10,6,3,0,0,0,3,4,8,0.5,1,1,1.0,1,2,0.5,7
2021-11-22,2021-22,BOS,0,0,2,21,8,6,7,2,0,2,5,3,6,0.5,0,1,0.0,2,2,1.0,9
2021-11-24,2021-22,CHI,1,1,2,16,13,4,2,1,0,1,3,4,7,0.571,2,3,0.667,3,5,0.6,7
2021-11-27,2021-22,CHA,1,1,3,12,5,5,4,0,2,4,2,2,3,0.667,0,1,0.0,1,2,0.5,-13
2021-11-29,2021-22,OKC,1,1,2,17,4,5,3,1,0,1,2,2,3,0.667,0,0,0.0,0,0,0.0,-11
2021-12-01,2021-22,OKC,0,1,2,13,5,2,4,2,2,0,4,2,4,0.5,0,0,0.0,1,1,1.0,-6
2021-12-03,2021-22,ORL,1,1,2,19,13,3,5,0,1,1,1,3,6,0.5,1,3,0.333,6,7,0.857,4
2021-12-05,2021-22,NOP,1,1,2,17,10,4,1,1,1,1,5,3,7,0.429,0,2,0.0,4,4,1.0,2
2021-12-08,2021-22,BKN,1,1,3,14,6,2,1,0,0,0,2,2,5,0.4,0,1,0.0,2,2,1.0,4
2021-12-10,2021-22,MIL,1,0,2,16,15,5,0,1,0,1,4,6,8,0.75,0,0,0.0,3,6,0.5,11
2021-12-11,2021-22,MEM,0,0,1,23,15,6,6,1,3,3,4,5,8,0.625,0,0,0.0,5,5,1.0,3
2021-12-13,2021-22,ATL,0,1,2,25,11,6,4,1,2,1,5,4,10,0.4,0,2,0.0,3,4,0.75,15
2021-12-15,2021-22,CLE,0,0,2,28,19,11,5,2,1,2,1,7,14,0.5,0,2,0.0,5,6,0.833,-12
2021-12-16,2021-22,NYK,1,0,1,15,1,2,1,0,2,4,3,0,3,0.0,0,2,0.0,1,2,0.5,-23
2021-12-18,2021-22,DET,0,1,2,22,9,5,4,0,2,1,4,3,8,0.375,0,2,0.0,3,3,1.0,13
2021-12-20,2021-22,CHI,0,0,2,19,8,5,2,1,0,5,3,3,5,0.6,1,1,1.0,1,2,0.5,-10
2021-12-22,2021-22,MIL,0,0,2,24,10,8,4,0,0,4,2,4,6,0.667,0,0,0.0,2,4,0.5,-23
2021-12-23,2021-22,IND,0,0,1,20,10,8,3,1,2,1,3,5,10,0.5,0,1,0.0,0,0,0.0,-16
2021-12-27,2021-22,CHA,0,0,4,21,5,6,3,0,2,4,5,2,5,0.4,0,0,0.0,1,2,0.5,-12
2021-12-28,2021-22,LAL,1,0,1,15,10,2,0,0,1,1,4,5,8,0.625,0,0,0.0,0,1,0.0,2
2021-12-31,2021-22,MIA,1,0,3,7,6,1,1,0,1,1,2,1,1,1.0,1,1,1.0,3,4,0.75,-11
2022-01-14,2021-22,SAC,0,0,14,14,9,4,2,0,1,2,2,4,6,0.667,0,2,0.0,1,2,0.5,-10
2022-01-16,2021-22,SAC,0,1,2,15,6,0,2,0,1,3,0,2,4,0.5,0,1,0.0,2,3,0.667,3
2022-01-19,2021-22,UTA,0,1,3,16,7,2,2,0,1,2,2,2,6,0.333,1,1,1.0,2,2,1.0,2
2022-01-21,2021-22,GSW,0,0,2,14,5,6,2,0,0,2,0,2,7,0.286,0,2,0.0,1,2,0.5,1
2022-01-25,2021-22,SAS,1,0,4,24,14,5,1,1,3,3,1,5,13,0.385,0,2,0.0,4,6,0.667,-11
2022-01-28,2021-22,POR,1,0,3,11,4,3,0,1,0,1,2,1,2,0.5,0,0,0.0,2,2,1.0,-11
2022-01-31,2021-22,GSW,1,0,3,12,2,4,1,0,0,3,2,0,2,0.0,0,0,0.0,2,4,0.5,0
2022-02-02,2021-22,CLE,1,1,2,25,9,8,3,0,1,4,3,2,4,0.5,0,0,0.0,5,6,0.833,20
2022-02-04,2021-22,SAS,0,0,2,29,18,2,1,2,3,2,4,7,15,0.467,1,4,0.25,3,3,1.0,-16
2022-02-06,2021-22,NOP,1,0,2,25,5,6,4,1,2,0,5,2,6,0.333,1,5,0.2,0,0,0.0,-9
2022-02-08,2021-22,NOP,0,0,2,28,11,9,2,0,2,4,4,5,10,0.5,0,2,0.0,1,2,0.5,-9
2022-02-10,2021-22,TOR,1,0,2,21,0,4,4,0,1,2,3,0,3,0.0,0,0,0.0,0,2,0.0,-22
2022-02-14,2021-22,UTA,0,0,4,16,9,3,2,1,0,2,3,3,6,0.5,0,2,0.0,3,5,0.6,-17
2022-02-16,2021-22,PHX,0,0,2,28,19,14,3,2,1,1,4,7,11,0.636,3,4,0.75,2,2,1.0,11
2022-02-17,2021-22,LAC,0,0,1,14,4,3,4,0,1,3,1,2,5,0.4,0,1,0.0,0,0,0.0,-16
2022-02-25,2021-22,ORL,0,0,8,18,6,6,4,1,2,4,2,2,5,0.4,0,1,0.0,2,2,1.0,-7
2022-02-27,2021-22,LAC,1,0,2,16,15,3,0,0,0,2,2,5,8,0.625,1,3,0.333,4,6,0.667,-4
2022-03-01,2021-22,LAC,1,0,2,22,13,9,1,2,2,1,2,6,15,0.4,1,3,0.333,0,0,0.0,0
2022-03-02,2021-22,UTA,1,0,1,18,5,4,1,2,0,1,6,0,6,0.0,0,4,0.0,5,6,0.833,-2
2022-03-04,2021-22,DEN,0,0,2,22,11,10,1,1,1,1,2,5,10,0.5,0,3,0.0,1,4,0.25,-14
2022-03-06,2021-22,MEM,1,1,2,22,6,1,4,0,2,0,2,2,4,0.5,0,1,0.0,2,4,0.5,2
2022-03-07,2021-22,MIA,0,0,1,30,13,8,3,0,1,2,4,5,11,0.455,0,1,0.0,3,6,0.5,-15
2022-03-09,2021-22,LAL,1,1,2,40,21,14,2,2,2,3,4,9,20,0.45,1,3,0.333,2,2,1.0,6
2022-03-11,2021-22,DAL,1,0,2,20,6,6,1,1,0,2,5,3,9,0.333,0,2,0.0,0,0,0.0,-8
2022-03-13,2021-22,NOP,0,0,2,15,9,4,1,0,0,1,6,4,6,0.667,1,1,1.0,0,0,0.0,-4
2022-03-16,2021-22,PHX,1,0,3,26,5,3,3,3,0,0,3,2,5,0.4,0,0,0.0,1,2,0.5,-6
2022-03-18,2021-22,IND,1,0,2,21,15,4,0,0,3,2,2,4,9,0.444,0,3,0.0,7,8,0.875,1
2022-03-20,2021-22,MEM,1,0,2,23,12,9,3,1,0,2,3,5,7,0.714,0,2,0.0,2,3,0.667,-7
